HEADWORD	IPA	SOUND_CLASSES
Kälblein	k ɛ l p l ai n	K V R P R V N
Kalbsbraten	k a l p s b r a t ə n	K V R P S P R V T V N
Kalbsbrust	k a l p s b r ʊ s t	K V R P S P R V S T
Kalbsschnitzel	k a l p s ʃ n ɪ ts ə l	K V R P S S N V K V R
Kaleidoskop	k a l ai d ɔ s k o p	K V R V T V S K V P
kaleidoskopisch	k a l ai d ɔ s k o p ɪ ʃ	K V R V T V S K V P V S
kalendarisch	k a l ɛ n d a r ɪ ʃ	K V R V N T V R V S
Kalender	k a l ɛ n d ə r	K V R V N T V R
Kalenderjahr	k a l ɛ n d ə r j a r	K V R V N T V R J V R
Kalesche	k a l ɛ ʃ ə	K V R V S V
Kalevala	k ɑ l ɛ v ɑ l ɑ	K V R V W V R V
Kalfakter	k a l f a k t ə r	K V R P V K T V R
Kalfaktor	k a l f a k t ɔ r	K V R P V K T V R
kalfatern	k a l f a t ə r n	K V R P V T V R N
Kali	k a l i	K V R V
Kaliber	k a l i b ə r	K V R V P V R
kalibrieren	k a l i b r i r ə n	K V R V P R V R V N
Kalif	k a l i f	K V R V P
Kalifat	k a l i f a t	K V R V P V T
Kaliindustrie	k a l i ɪ n d ʊ s t r i	K V R V V N T V S T R V
Kalilauge	k a l i l au g ə	K V R V R V K V
Kalisalpeter	k a l i z a l p e t ə r	K V R V S V R P V T V R
Kalium	k a l i ʊ m	K V R V V M
kalken	k a l k ə n	K V R K V N
Kalk	k a l k	K V R K
Kalkboden	k a l k b o d ə n	K V R K P V T V N
Kalkgrube	k a l k g r u b ə	K V R K K R V P V
kalkhaltig	k a l k h a l t ɪ x	K V R K H V R T V K
kalkig	k a l k ɪ x	K V R K V K
Kalkofen	k a l k o f ə n	K V R K V P V N
Kalkspat	k a l k ʃ p a t	K V R K S P V T
Kalkstein	k a l k ʃ t ai n	K V R K S T V N
Kalkül	k a l k y l	K V R K V R
Kalkül	k a l k y l	K V R K V R
Kalkulation	k a l k u l a ts i o n	K V R K V R V K V V N
Kalkulator	k a l k u l a t ɔ r	K V R K V R V T V R
kalkulatorisch	k a l k u l a t o r ɪ ʃ	K V R K V R V T V R V S
kalkulieren	k a l k u l i r ə n	K V R K V R V R V N
kalkulierbar	k a l k u l i r b a r	K V R K V R V R P V R
Kalkwasser	k a l k v a s ə r	K V R K W V S V R
Kalligraph	k a l i g r a f	K V R V K R V P
Kalligraphie	k a l i g r a f i	K V R V K R V P V
kalligraphisch	k a l i g r a f ɪ ʃ	K V R V K R V P V S
Kalorie	k a l o r i	K V R V R V
kalorienarm	k a l o r i ə n a r m	K V R V R V V N V R M
Kaloriengehalt	k a l o r i ə n g ə h a l t	K V R V R V V N K V H V R T
Kalorimeter	k a l o r i m e t ə r	K V R V R V M V T V R
Kalotte	k a l ɔ t ə	K V R V T V
kalt	k a l t	K V R T
kaltbleiben	k a l t b l ai b ə n	K V R T P R V P V N
Kaltblut	k a l t b l u t	K V R T P R V T
kaltblütig	k a l t b l y t ɪ x	K V R T P R V T V K
Kaltblütigkeit	k a l t b l y t ɪ x k ai t	K V R T P R V T V K K V T
Kälte	k ɛ l t ə	K V R T V
Kälteeinbruch	k ɛ l t ə ai n b r ʊ x	K V R T V V N P R V K
Kältegrad	k ɛ l t ə g r a t	K V R T V K R V T
Kältewelle	k ɛ l t ə v ɛ l ə	K V R T V W V R V
Kaltfront	k a l t f r ɔ n t	K V R T P R V N T
kaltherzig	k a l t h ɛ r ts ɪ x	K V R T H V R K V K
Kaltherzigkeit	k a l t h ɛ r ts ɪ x k ai t	K V R T H V R K V K K V T
kaltlassen	k a l t l a s ə n	K V R T R V S V N
kaltmachen	k a l t m a x ə n	K V R T M V K V N
kaltschnäuzig	k a l t ʃ n au ts ɪ x	K V R T S N V K V K
kaltstellen	k a l t ʃ t ɛ l ə n	K V R T S T V R V N
Kalvarienberg	k a l v a r i ə n b ɛ r k	K V R W V R V V N P V R K
kalvinisch	k a l v i n ɪ ʃ	K V R W V N V S
Kalvinismus	k a l v i n ɪ s m ʊ s	K V R W V N V S M V S
Kalvinist	k a l v i n ɪ s t	K V R W V N V S T
Kalzium	k a l ts i ʊ m	K V R K V V M
Kamel	k a m e l	K V M V R
Kamelhaar	k a m e l h a r	K V M V R H V R
Kamelie	k a m e l i ə	K V M V R V V
Kamera	k a m ə r a	K V M V R V
Kamerad	k a m ə r a t	K V M V R V T
Kameradschaft	k a m ə r a t ʃ a f t	K V M V R V T S V P T
kameradschaftlich	k a m ə r a t ʃ a f t l ɪ x	K V M V R V T S V P T R V K
Kameradschaftlichkeit	k a m ə r a t ʃ a f t l ɪ x k ai t	K V M V R V T S V P T R V K K V T
Kameramann	k a m ə r a m a n	K V M V R V M V N
Kamille	k a m ɪ l ə	K V M V R V
Kamin	k a m i n	K V M V N
Kaminfeger	k a m i n f e g ə r	K V M V N P V K V R
kämmen	k ɛ m ə n	K V M V N
Kamm	k a m	K V M
Kammer	k a m ə r	K V M V R
Kämmerchen	k ɛ m ə r x ə n	K V M V R K V N
Kämmerer	k ɛ m ə r ə r	K V M V R V R
Kammerherr	k a m ə r h ɛ r	K V M V R H V R
Kammerjunker	k a m ə r j ʊ ŋ k ə r	K V M V R J V N K V R
Kammermusik	k a m ə r m u z i k	K V M V R M V S V K
Kammerorchester	k a m ə r ɔ r k ɛ s t ə r	K V M V R V R K V S T V R
Kammersänger	k a m ə r z ɛ ŋ ə r	K V M V R S V N V R
Kammerspiel	k a m ə r ʃ p i l	K V M V R S P V R
Kammgarn	k a m g a r n	K V M K V R N
Kampagne	k a m p a n j ə	K V M P V N J V
kämpfen	k ɛ m pf ə n	K V M P V N
Kampf	k a m pf	K V M P
Kampfabstimmung	k a m pf a p ʃ t ɪ m ʊ ŋ	K V M P V P S T V M V N
kampfbereit	k a m pf b ə r ai t	K V M P P V R V T
Kampfer	k a m pf ə r	K V M P V R
Kämpfer	k ɛ m pf ə r	K V M P V R
Kämpferin	k ɛ m pf ə r ɪ n	K V M P V R V N
kämpferisch	k ɛ m pf ə r ɪ ʃ	K V M P V R V S
Kämpfernatur	k ɛ m pf ə r n a t u r	K V M P V R N V T V R
Kampfflieger	k a m pf f l i g ə r	K V M P P R V K V R
Kampfflugzeug	k a m pf f l u k ts χ k	K V M P P R V K K K K
Kampfgeist	k a m pf g ai s t	K V M P K V S T
Kampfhahn	k a m pf h a n	K V M P H V N
Kampfhandlung	k a m pf h a n d l ʊ ŋ	K V M P H V N T R V N
kampflos	k a m pf l o s	K V M P R V S
Kampflust	k a m pf l ʊ s t	K V M P R V S T
Kampfplatz	k a m pf p l a ts	K V M P P R V K
kampfunfähig	k a m pf ʊ n f æ ɪ x	K V M P V N P V V K
Kampfunfähigkeit	k a m pf ʊ n f æ ɪ x k ai t	K V M P V N P V V K K V T
kampieren	k a m p i r ə n	K V M P V R V N
Kanada	k a n a d a	K V N V T V
Kanadier	k a n a d i ə r	K V N V T V V R
kanadisch	k a n a d ɪ ʃ	K V N V T V S
Kanaille	k a n a l j ə	K V N V R J V
Kanal	k a n a l	K V N V R
Kanalisation	k a n a l i z a ts i o n	K V N V R V S V K V V N
kanalisieren	k a n a l i z i r ə n	K V N V R V S V R V N
Kanapee	k a n a p e	K V N V P V
Kanari	k a n a r i	K V N V R V
Kanarienvogel	k a n a r i ə n f o g ə l	K V N V R V V N P V K V R
Kandelaber	k a n d e l a b ə r	K V N T V R V P V R
Kandelzucker	k a n d ə l ts ʊ k ə r	K V N T V R K V K V R
Kandidat	k a n d i d a t	K V N T V T V T
Kandidatur	k a n d i d a t u r	K V N T V T V T V R
kandidieren	k a n d i d i r ə n	K V N T V T V R V N
kandieren	k a n d i r ə n	K V N T V R V N
Kandis	k a n d ɪ s	K V N T V S
Kandiszucker	k a n d ɪ s ts ʊ k ə r	K V N T V S K V K V R
Kaneel	k a n e l	K V N V R
Kanevas	k a n ə v a s	K V N V W V S
Känguruh	k ɛ ŋ g u r u	K V N K V R V
Kanin	k a n i n	K V N V N
Kaninchen	k a n i n x ə n	K V N V N K V N
Kanister	k a n ɪ s t ə r	K V N V S T V R
Kännchen	k ɛ n x ə n	K V N K V N
Kanne	k a n ə	K V N V
Kannegiesser	k a n ə g i s ə r	K V N V K V S V R
kannenweise	k a n ə n v ai z ə	K V N V N W V S V
Kannibale	k a n i b a l ə	K V N V P V R V
kannibalisch	k a n i b a l ɪ ʃ	K V N V P V R V S
Kannibalismus	k a n i b a l ɪ s m ʊ s	K V N V P V R V S M V S
Kännlein	k ɛ n l ai n	K V N R V N
Kanon	k a n ɔ n	K V N V N
Kanonade	k a n o n a d ə	K V N V N V T V
Kanone	k a n o n ə	K V N V N V
Kanonenboot	k a n o n ə n b o t	K V N V N V N P V T
Kanonendonner	k a n o n ə n d ɔ n ə r	K V N V N V N T V N V R
Kanonenfutter	k a n o n ə n f ʊ t ə r	K V N V N V N P V T V R
Kanonenkugel	k a n o n ə n k u g ə l	K V N V N V N K V K V R
Kanonenschuss	k a n o n ə n ʃ ʊ s	K V N V N V N S V S
kanonieren	k a n o n i r ə n	K V N V N V R V N
Kanonier	k a n o n i r	K V N V N V R
kanonisch	k a n o n ɪ ʃ	K V N V N V S
kanonisieren	k a n o n i z i r ə n	K V N V N V S V R V N
Kanonist	k a n o n ɪ s t	K V N V N V S T
Kanossagang	k a n ɔ s a g a ŋ	K V N V S V K V N
kanten	k a n t ə n	K V N T V N
Kantabile	k a n t a b i l ə	K V N T V P V R V
Kantate	k a n t a t ə	K V N T V T V
Kante	k a n t ə	K V N T V
Kantel	k a n t ə l	K V N T V R
Kantel	k a n t ə l	K V N T V R
kantern	k a n t ə r n	K V N T V R N
Kantianer	k a n t i a n ə r	K V N T V V N V R
Kantianismus	k a n t i a n ɪ s m ʊ s	K V N T V V N V S M V S
kantig	k a n t ɪ x	K V N T V K
Kanton	k a n t o n	K V N T V N
kantonal	k a n t o n a l	K V N T V N V R
Kantonsgericht	k a n t o n s g ə r ɪ x t	K V N T V N S K V R V K T
Kantonsrat	k a n t o n s r a t	K V N T V N S R V T
Kantor	k a n t ɔ r	K V N T V R
Kantstein	k a n t ʃ t ai n	K V N T S T V N
Kanu	k a n u	K V N V
Kanzel	k a n ts ə l	K V N K V R
Kanzelredner	k a n ts ə l r e d n ə r	K V N K V R R V T N V R
Kanzlei	k a n ts l ai	K V N K R V
Kanzleisprache	k a n ts l ai ʃ p r a x ə	K V N K R V S P R V K V
Kanzler	k a n ts l ə r	K V N K R V R
Kanzlerschaft	k a n ts l ə r ʃ a f t	K V N K R V R S V P T
kapen	k a p ə n	K V P V N
Kapazität	k a p a ts i t æ t	K V P V K V T V T
Kapelan	k a p ə l a n	K V P V R V N
Kapella	k a p ɛ l a	K V P V R V
Kapelle	k a p ɛ l ə	K V P V R V
Kapellmeister	k a p ɛ l m ai s t ə r	K V P V R M V S T V R
kapern	k a p ə r n	K V P V R N
Kaper	k a p ə r	K V P V R
Kaperbrief	k a p ə r b r i f	K V P V R P R V P
Kaperschiff	k a p ə r ʃ ɪ f	K V P V R S V P
Kaperung	k a p ə r ʊ ŋ	K V P V R V N
kapieren	k a p i r ə n	K V P V R V N
Kapillare	k a p i l a r ə	K V P V R V R V
kapital	k a p i t a l	K V P V T V R
Kapital	k a p i t a l	K V P V T V R
Kapitäl	k a p i t æ l	K V P V T V R
Kapitalanlage	k a p i t a l a n l a g ə	K V P V T V R V N R V K V
Kapitalerhöhung	k a p i t a l ɛ r h ɶː ʊ ŋ	K V P V T V R V R H V V N
Kapitalfehler	k a p i t a l f e l ə r	K V P V T V R P V R V R
Kapitalflucht	k a p i t a l f l ʊ x t	K V P V T V R P R V K T
kapitalisch	k a p i t a l ɪ ʃ	K V P V T V R V S
kapitalisieren	k a p i t a l i z i r ə n	K V P V T V R V S V R V N
Kapitalisierung	k a p i t a l i z i r ʊ ŋ	K V P V T V R V S V R V N
Kapitalismus	k a p i t a l ɪ s m ʊ s	K V P V T V R V S M V S
Kapitalist	k a p i t a l ɪ s t	K V P V T V R V S T
Kapitalmarkt	k a p i t a l m a r k t	K V P V T V R M V R K T
Kapitalverbrechen	k a p i t a l f ɛ r b r ɛ x ə n	K V P V T V R P V R P R V K V N
Kapitalzins	k a p i t a l ts ɪ n s	K V P V T V R K V N S
Kapitän	k a p i t æ n	K V P V T V N
Kapitänleutnant	k a p i t æ n l χ t n a n t	K V P V T V N R K T N V N T
Kapitänskajüte	k a p i t æ n s k a j y t ə	K V P V T V N S K V J V T V
Kapitel	k a p i t ə l	K V P V T V R
Kapitelüberschrift	k a p i t ə l y b ə r ʃ r ɪ f t	K V P V T V R V P V R S R V P T
Kapitulant	k a p i t u l a n t	K V P V T V R V N T
Kapitulation	k a p i t u l a ts i o n	K V P V T V R V K V V N
kapitulieren	k a p i t u l i r ə n	K V P V T V R V R V N
Kaplan	k a p l a n	K V P R V N
kappen	k a p ə n	K V P V N
Kappe	k a p ə	K V P V
Kappenabend	k a p ə n a b ə n t	K V P V N V P V N T
Kappnaht	k a p n a t	K V P N V T
Kappung	k a p ʊ ŋ	K V P V N
Kappzaum	k a p ts au m	K V P K V M
Kapriole	k a p r i o l ə	K V P R V V R V
Kaprize	k a p r i ts ə	K V P R V K V
kapriziös	k a p r i ts i ɶː s	K V P R V K V V S
Kapsel	k a p s ə l	K V P S V R
kapseln	k a p s ə l n	K V P S V R N
kapselförmig	k a p s ə l f œ r m ɪ x	K V P S V R P V R M V K
kaputt	k a p ʊ t	K V P V T
kaputtgehen	k a p ʊ t g e ə n	K V P V T K V V N
kaputtlachen	k a p ʊ t l a x ə n	K V P V T R V K V N
kaputtmachen	k a p ʊ t m a x ə n	K V P V T M V K V N
kaputtschlagen	k a p ʊ t ʃ l a g ə n	K V P V T S R V K V N
kaputttreten	k a p ʊ t t r e t ə n	K V P V T T R V T V N
Kapuze	k a p u ts ə	K V P V K V
Karabiner	k a r a b i n ə r	K V R V P V N V R
Karabinier	k a r a b i n i e	K V R V P V N V V
Karaffe	k a r a f ə	K V R V P V
Karamel	k a r a m ɛ l	K V R V M V R
Karamelle	k a r a m ɛ l ə	K V R V M V R V
Karat	k a r a t	K V R V T
Karate	k a r a t ə	K V R V T V
Karavane	k a r a v a n ə	K V R V W V N V
Karavelle	k a r a v ɛ l ə	K V R V W V R V
Karbid	k a r b i t	K V R P V T
Karbidlampe	k a r b i t l a m p ə	K V R P V T R V M P V
Karbon	k a r b o n	K V R P V N
Karbonade	k a r b o n a d ə	K V R P V N V T V
Karbonat	k a r b o n a t	K V R P V N V T
Karbonisation	k a r b o n i z a ts i o n	K V R P V N V S V K V V N
karbonisch	k a r b o n ɪ ʃ	K V R P V N V S
karbonisieren	k a r b o n i z i r ə n	K V R P V N V S V R V N
Karbonpapier	k a r b o n p a p i r	K V R P V N P V P V R
Kardamom	k a r d a m o m	K V R T V M V M
kardial	k a r d i a l	K V R T V V R
kardinal	k a r d i n a l	K V R T V N V R
Kardinal	k a r d i n a l	K V R T V N V R
Kardinalfehler	k a r d i n a l f e l ə r	K V R T V N V R P V R V R
Kardinalskollegium	k a r d i n a l s k ɔ l e g i ʊ m	K V R T V N V R S K V R V K V V M
Kardinaltugend	k a r d i n a l t u g ə n t	K V R T V N V R T V K V N T
Kardinalzahl	k a r d i n a l ts a l	K V R T V N V R K V R
Kardiogramm	k a r d i o g r a m	K V R T V V K R V M
Kardiograph	k a r d i o g r a f	K V R T V V K R V P
Kardiologie	k a r d i o l o g i	K V R T V V R V K V
Karenz	k a r ɛ n ts	K V R V N K
Karfreitag	k a r f r ai t a k	K V R P R V T V K
Karfunkel	k a r f ʊ ŋ k ə l	K V R P V N K V R
karfunkelrot	k a r f ʊ ŋ k ə l r o t	K V R P V N K V R R V T
karg	k a r k	K V R K
Kargheit	k a r k h ai t	K V R K H V T
kärglich	k ɛ r k l ɪ x	K V R K R V K
Kärglichkeit	k ɛ r k l ɪ x k ai t	K V R K R V K K V T
Kargo	k a r g o	K V R K V
karieren	k a r i r ə n	K V R V R V N
kariert	k a r i r t	K V R V R T
Karikatur	k a r i k a t u r	K V R V K V T V R
Karikaturenzeichner	k a r i k a t u r ə n ts ai x n ə r	K V R V K V T V R V N K V K N V R
Karikaturist	k a r i k a t u r ɪ s t	K V R V K V T V R V S T
karikaturistisch	k a r i k a t u r ɪ s t ɪ ʃ	K V R V K V T V R V S T V S
karikieren	k a r i k i r ə n	K V R V K V R V N
Karitas	k a r i t a s	K V R V T V S
karitativ	k a r i t a t i f	K V R V T V T V P
Karmesin	k a r m e z i n	K V R M V S V N
karmesinrot	k a r m e z i n r o t	K V R M V S V N R V T
Karneval	k a r n ə v a l	K V R N V W V R
Karnevalist	k a r n ə v a l ɪ s t	K V R N V W V R V S T
Karnevalszug	k a r n ə v a l s ts u k	K V R N V W V R S K V K
karnivor	k a r n i v o r	K V R N V W V R
Karnivore	k a r n i v o r ə	K V R N V W V R V
Karosse	k a r ɔ s ə	K V R V S V
Karotin	k a r ɔ t i n	K V R V T V N
Karotte	k a r ɔ t ə	K V R V T V
Karpfen	k a r pf ə n	K V R P V N
Karpfenteich	k a r pf ə n t ai x	K V R P V N T V K
karren	k a r ə n	K V R V N
Karre	k a r ə	K V R V
Karree	k a r e	K V R V
Karren	k a r ə n	K V R V N
Karriere	k a r i e r ə	K V R V V R V
Karrierist	k a r i e r ɪ s t	K V R V V R V S T
Karsamstag	k a r z a m s t a k	K V R S V M S T V K
Karst	k a r s t	K V R S T
karstig	k a r s t ɪ x	K V R S T V K
karten	k a r t ə n	K V R T V N
Kärtchen	k ɛ r t x ə n	K V R T K V N
Karte	k a r t ə	K V R T V
Kartei	k a r t ai	K V R T V
Karteiblatt	k a r t ai b l a t	K V R T V P R V T
Karteikarte	k a r t ai k a r t ə	K V R T V K V R T V
Kartell	k a r t ɛ l	K V R T V R
kartellieren	k a r t ɛ l i r ə n	K V R T V R V R V N
Kartenbrief	k a r t ə n b r i f	K V R T V N P R V P
Kartenhaus	k a r t ə n h au s	K V R T V N H V S
Kartenspiel	k a r t ə n ʃ p i l	K V R T V N S P V R
Kartenverkauf	k a r t ə n f ɛ r k au f	K V R T V N P V R K V P
Kartenzeichner	k a r t ə n ts ai x n ə r	K V R T V N K V K N V R
kartesianisch	k a r t e z i a n ɪ ʃ	K V R T V S V V N V S
Kartoffel	k a r t ɔ f ə l	K V R T V P V R
Kartoffelsalat	k a r t ɔ f ə l z a l a t	K V R T V P V R S V R V T
Kartogramm	k a r t o g r a m	K V R T V K R V M
Kartographie	k a r t o g r a f i	K V R T V K R V P V
Karton	k a r t ɔ ŋ	K V R T V N
Kartonage	k a r t o n a ʒ ə	K V R T V N V S V
Kartothek	k a r t o t e k	K V R T V T V K
Kartusche	k a r t ʊ ʃ ə	K V R T V S V
Karussell	k a r ʊ s ɛ l	K V R V S V R
Karwoche	k a r v ɔ x ə	K V R W V K V
käsen	k æ z ə n	K V S V N
Käschen	k æ s x ə n	K V S K V N
Kaschmir	k a ʃ m i r	K V S M V R
Kaschube	k a ʃ u b ə	K V S V P V
Käse	k æ z ə	K V S V
Käseblatt	k æ z ə b l a t	K V S V P R V T
Käseglocke	k æ z ə g l ɔ k ə	K V S V K R V K V
Käsekuchen	k æ z ə k u x ə n	K V S V K V K V N
Käsemesser	k æ z ə m ɛ s ə r	K V S V M V S V R
Käserei	k æ z ə r ai	K V S V R V
Kaserne	k a z ɛ r n ə	K V S V R N V
Kasernenhof	k a z ɛ r n ə n h o f	K V S V R N V N H V P
Käsestoff	k æ z ə ʃ t ɔ f	K V S V S T V P
käsig	k æ z ɪ x	K V S V K
Kasino	k a z i n o	K V S V N V
Kaskade	k a s k a d ə	K V S K V T V
kaskadenförmig	k a s k a d ə n f œ r m ɪ x	K V S K V T V N P V R M V K
Kaskett	k a s k ɛ t	K V S K V T
Kasko	k a s k o	K V S K V
Kaskoversicherung	k a s k o f ɛ r z ɪ x ə r ʊ ŋ	K V S K V P V R S V K V R V N
Käslein	k æ s l ai n	K V S R V N
Kasperl	k a s p ə r l	K V S P V R R
Kasperltheater	k a s p ə r l t e a t ə r	K V S P V R R T V V T V R
Kassa	k a s a	K V S V
Kassabuch	k a s a b u x	K V S V P V K
Kassandraruf	k a s a n d r a r u f	K V S V N T R V R V P
Kassation	k a s a ts i o n	K V S V K V V N
Kassazahlung	k a s a ts a l ʊ ŋ	K V S V K V R V N
Kasse	k a s ə	K V S V
Kassenarzt	k a s ə n a r ts t	K V S V N V R K T
Kassenbon	k a s ə n b ɔ ŋ	K V S V N P V N
Kassenzettel	k a s ə n ts ɛ t ə l	K V S V N K V T V R
Kasserolle	k a s ə r ɔ l ə	K V S V R V R V
Kassette	k a s ɛ t ə	K V S V T V
kassieren	k a s i r ə n	K V S V R V N
Kassier	k a s i r	K V S V R
Kassierer	k a s i r ə r	K V S V R V R
Kassiererin	k a s i r ə r ɪ n	K V S V R V R V N
Kassierung	k a s i r ʊ ŋ	K V S V R V N
Kastagnette	k a s t a n j ɛ t ə	K V S T V N J V T V
Kastanie	k a s t a n i ə	K V S T V N V V
Kastanienbaum	k a s t a n i ə n b au m	K V S T V N V V N P V M
Kästchen	k ɛ s t x ə n	K V S T K V N
Kaste	k a s t ə	K V S T V
kasteien	k a s t ai ə n	K V S T V V N
Kasteiung	k a s t ai ʊ ŋ	K V S T V V N
Kastell	k a s t ɛ l	K V S T V R
Kasten	k a s t ə n	K V S T V N
Kastenwagen	k a s t ə n v a g ə n	K V S T V N W V K V N
Kastenwesen	k a s t ə n v e z ə n	K V S T V N W V S V N
Kästner	k ɛ s t n ə r	K V S T N V R
Kastrat	k a s t r a t	K V S T R V T
Kastration	k a s t r a ts i o n	K V S T R V K V V N
kastrieren	k a s t r i r ə n	K V S T R V R V N
Kasuistik	k a z u ɪ s t ɪ k	K V S V V S T V K
kasuistisch	k a z u ɪ s t ɪ ʃ	K V S V V S T V S
Kasus	k a z ʊ s	K V S V S
Kasusendung	k a z ʊ s ɛ n d ʊ ŋ	K V S V S V N T V N
Katabolismus	k a t a b o l ɪ s m ʊ s	K V T V P V R V S M V S
Katafalk	k a t a f a l k	K V T V P V R K
Kataklysmus	k a t a k l ʏ s m ʊ s	K V T V K R V S M V S
Katakombe	k a t a k ɔ m b ə	K V T V K V M P V
katalektisch	k a t a l ɛ k t ɪ ʃ	K V T V R V K T V S
Katalepsie	k a t a l ɛ p s i	K V T V R V P S V
Katalog	k a t a l o k	K V T V R V K
katalogisieren	k a t a l o g i z i r ə n	K V T V R V K V S V R V N
Katalogisierung	k a t a l o g i z i r ʊ ŋ	K V T V R V K V S V R V N
Katalysator	k a t a l y z a t ɔ r	K V T V R V S V T V R
katalysieren	k a t a l y z i r ə n	K V T V R V S V R V N
Katapult	k a t a p ʊ l t	K V T V P V R T
Katarakt	k a t a r a k t	K V T V R V K T
Katarrh	k a t a r	K V T V R
katastrophal	k a t a s t r o f a l	K V T V S T R V P V R
Katastrophe	k a t a s t r o f ə	K V T V S T R V P V
katastrophenartig	k a t a s t r o f ə n a r t ɪ x	K V T V S T R V P V N V R T V K
Katatonie	k a t a t o n i	K V T V T V N V
Katechet	k a t ɛ x e t	K V T V K V T
Katechismus	k a t ɛ x ɪ s m ʊ s	K V T V K V S M V S
Kategorie	k a t e g o r i	K V T V K V R V
kategorisch	k a t e g o r ɪ ʃ	K V T V K V R V S
kategorisieren	k a t e g o r i z i r ə n	K V T V K V R V S V R V N
Kater	k a t ə r	K V T V R
Kathedrale	k a t e d r a l ə	K V T V T R V R V
Kathete	k a t e t ə	K V T V T V
Katheter	k a t e t ə r	K V T V T V R
Kathode	k a t o d ə	K V T V T V
Katholik	k a t o l i k	K V T V R V K
katholisch	k a t o l ɪ ʃ	K V T V R V S
Katholizismus	k a t o l i ts ɪ s m ʊ s	K V T V R V K V S M V S
katten	k a t ə n	K V T V N
Kätzchen	k ɛ ts x ə n	K V K K V N
Katze	k a ts ə	K V K V
Katzenauge	k a ts ə n au g ə	K V K V N V K V
Katzenjammer	k a ts ə n j a m ə r	K V K V N J V M V R
Katzenmusik	k a ts ə n m u z i k	K V K V N M V S V K
Katzensprung	k a ts ə n ʃ p r ʊ ŋ	K V K V N S P R V N
Kätzlein	k ɛ ts l ai n	K V K R V N
kaün	k au ə n	K V V N
kaudern	k au d ə r n	K V T V R N
kauderwelsch	k au d ə r v ɛ l ʃ	K V T V R W V R S
kauderwelschen	k au d ə r v ɛ l ʃ ə n	K V T V R W V R S V N
Kauderwelsch	k au d ə r v ɛ l ʃ	K V T V R W V R S
kaürn	k au ə r n	K V V R N
kaufen	k au f ə n	K V P V N
Kauf	k au f	K V P
kaufenswert	k au f ə n s v e r t	K V P V N S W V R T
Käufer	k χ f ə r	K K P V R
Käuferin	k χ f ə r ɪ n	K K P V R V N
Kaufhaus	k au f h au s	K V P H V S
Kaufkraft	k au f k r a f t	K V P K R V P T
kaufkräftig	k au f k r ɛ f t ɪ x	K V P K R V P T V K
käuflich	k χ f l ɪ x	K K P R V K
Kaufmann	k au f m a n	K V P M V N
kaufmännisch	k au f m ɛ n ɪ ʃ	K V P M V N V S
Kaufmannschaft	k au f m a n ʃ a f t	K V P M V N S V P T
Kaufmannsstand	k au f m a n s ʃ t a n t	K V P M V N S S T V N T
Kaufpreis	k au f p r ai s	K V P P R V S
Kaufvertrag	k au f f ɛ r t r a k	K V P P V R T R V K
Kaugummi	k au g ʊ m i	K V K V M V
kaukasisch	k au k a z ɪ ʃ	K V K V S V S
Kaukasus	k au k a z ʊ s	K V K V S V S
Kaule	k au l ə	K V R V
Kaulquappe	k au l k v a p ə	K V R K W V P V
kaum	k au m	K V M
Kaumuskel	k au m ʊ s k ə l	K V M V S K V R
kausal	k au z a l	K V S V R
Kausalität	k au z a l i t æ t	K V S V R V T V T
Kausalsatz	k au z a l z a ts	K V S V R S V K
Kausativ	k au z a t i f	K V S V T V P
Kaustik	k au s t ɪ k	K V S T V K
kaustisch	k au s t ɪ ʃ	K V S T V S
Kautabak	k au t a b a k	K V T V P V K
Kauter	k au t ə r	K V T V R
kauterisieren	k au t e r i z i r ə n	K V T V R V S V R V N
Kaution	k au ts i o n	K V K V V N
kautionsfähig	k au ts i o n s f æ ɪ x	K V K V V N S P V V K
Kautschuk	k au ɲ ʊ k	K V N V K
Kautschukplantage	k au ɲ ʊ k p l a n t a ʒ ə	K V N V K P R V N T V S V
Kauz	k au ts	K V K
kauzig	k au ts ɪ x	K V K V K
Kavalier	k a v a l i r	K V W V R V R
Kavalkade	k a v a l k a d ə	K V W V R K V T V
Kavallerie	k a v a l ə r i	K V W V R V R V
Kavallerist	k a v a l ə r ɪ s t	K V W V R V R V S T
Kaverne	k a v ɛ r n ə	K V W V R N V
kavernös	k a v ɛ r n ɶː s	K V W V R N V S
Kaviar	k a v i a r	K V W V V R
Kavität	k a v i t æ t	K V W V T V T
Kavitation	k a v i t a ts i o n	K V W V T V K V V N
keck	k ɛ k	K V K
Keckheit	k ɛ k h ai t	K V K H V T
Kefir	k e f ɪ r	K V P V R
kegeln	k e g ə l n	K V K V R N
Kegel	k e g ə l	K V K V R
Kegelbahn	k e g ə l b a n	K V K V R P V N
kegelförmig	k e g ə l f œ r m ɪ x	K V K V R P V R M V K
kegelig	k e g ə l ɪ x	K V K V R V K
Kegelklub	k e g ə l k l ʊ p	K V K V R K R V P
Kegelkugel	k e g ə l k u g ə l	K V K V R K V K V R
Kegelschieben	k e g ə l ʃ i b ə n	K V K V R S V P V N
Kegler	k e g l ə r	K V K R V R
keglig	k e g l ɪ x	K V K R V K
Kehle	k e l ə	K V R V
kehlig	k e l ɪ x	K V R V K
Kehlkopf	k e l k ɔ pf	K V R K V P
Kehllaut	k e l l au t	K V R R V T
kehren	k e r ə n	K V R V N
Kehraus	k e r au s	K V R V S
